ip,app,device,os,channel,hour,day,target
40056,12,1,20,245,20,6,0
61691,18,1,19,107,16,6,0
7299,160,1,19,457,0,7,0
111509,14,1,13,480,16,6,0
187243,12,1,35,140,19,6,0
5348,13,1,25,477,22,6,0
158006,2,1,22,477,17,6,0
43805,15,1,16,245,18,6,0
12898,3,1,13,442,0,7,0
146001,2,1,9,377,23,6,0
83098,9,1,17,134,16,6,0
118324,23,1,6,153,22,6,0
63404,15,1,19,245,20,6,0
163915,2,1,19,236,16,6,0
114054,3,1,41,452,16,6,0
36491,27,1,1,122,23,6,0
57306,20,1,18,259,22,6,0
105603,2,1,22,205,16,6,0
147957,3,1,7,480,22,6,0
121916,15,1,17,3,22,6,0
53144,18,1,13,121,16,6,0
113723,2,1,6,236,17,6,0
19504,12,2,25,259,16,6,0
55569,13,2,36,400,22,6,0
172522,3,1,13,130,17,6,0
108748,25,1,13,259,17,6,0
157602,24,1,9,105,17,6,0
37515,20,1,13,259,16,6,0
83584,26,1,22,121,21,6,0
41203,9,1,18,442,20,6,0
91574,12,1,19,245,17,6,0
28563,8,1,9,145,23,6,0
60271,2,1,18,205,18,6,0
59134,28,1,19,135,16,6,0
51469,6,1,15,459,16,6,0
184472,2,1,48,477,19,6,0
18927,9,1,19,442,23,6,0
37682,23,1,22,153,20,6,0
15643,15,1,12,245,22,6,0
84774,18,1,13,121,19,6,0
40317,2,1,13,237,16,6,0
103502,12,1,22,219,19,6,0
194140,15,1,19,245,18,6,0
194095,9,1,13,215,17,6,0
121963,9,1,58,334,20,6,0
109356,2,1,19,219,23,6,0
98298,9,1,22,215,23,6,0
84896,64,1,17,459,21,6,0
84640,9,1,20,134,0,7,0
128393,1,1,19,115,18,6,0
80447,12,1,19,205,0,7,0
20905,15,1,16,480,22,6,0
105475,9,1,13,134,23,6,0
174548,2,1,2,377,23,6,0
2864,2,2,9,205,16,6,0
8230,26,1,13,266,23,6,0
59969,12,1,13,205,21,6,0
52010,9,1,19,215,17,6,0
59159,6,1,13,459,16,6,0
29412,1,1,19,125,22,6,0
209294,17,1,25,280,16,6,0
53526,1,1,18,153,17,6,0
42479,64,1,23,459,23,6,0
4889,9,1,13,134,17,6,0
47158,18,1,15,121,17,6,0
108635,15,1,20,140,23,6,0
31813,3,1,19,424,20,6,0
22117,2,1,35,364,16,6,0
57919,12,1,19,481,0,7,0
154186,12,1,19,178,18,6,0
201182,1,1,17,135,16,6,0
74987,12,1,22,178,16,6,0
130750,18,1,13,439,23,6,0
204950,15,1,19,140,22,6,0
44328,12,1,13,328,23,6,0
20495,26,1,19,266,17,6,0
55776,3,1,25,280,17,6,0
168247,9,1,14,215,23,6,0
100959,14,1,48,123,17,6,0
53964,20,1,1,478,23,6,0
99972,2,1,14,219,23,6,0
73766,64,1,13,459,23,6,0
135495,2,1,19,122,17,6,0
29142,14,1,15,463,22,6,0
20327,18,1,13,439,0,7,0
5314,18,1,3,107,0,7,0
149030,3,1,13,137,16,6,0
114597,13,1,19,477,23,6,0
111025,18,1,25,134,0,7,0
5348,15,1,13,379,16,6,0
5348,9,1,19,134,16,6,0
6087,9,1,20,215,16,6,0
172483,15,1,20,3,23,6,0
159841,2,1,27,477,19,6,0
47648,9,1,20,134,16,6,0
22146,13,1,13,477,22,6,0
27530,3,1,14,205,23,6,0
112350,27,1,18,122,22,6,0
24008,6,1,19,459,16,6,0
11282,12,1,19,245,18,6,0
61099,18,1,3,107,23,6,0
76744,13,1,19,477,16,6,0
125396,2,1,17,477,16,6,0
70656,3,1,13,137,17,6,0
91013,9,1,8,134,16,6,0
58204,24,1,13,105,21,6,0
107653,2,1,13,477,18,6,0
41540,20,1,19,259,18,6,0
54673,9,1,15,134,23,6,0
31415,26,1,13,266,18,6,0
97030,9,1,19,215,22,6,0
32575,12,1,19,140,0,7,0
76613,24,1,35,105,17,6,0
76885,3,1,13,280,16,6,0
137090,15,1,10,265,23,6,0
4889,12,1,13,259,17,6,0
133457,9,1,9,134,17,6,0
163572,3,1,18,379,23,6,0
69070,15,1,13,245,19,6,0
66210,9,1,10,442,18,6,0
101894,8,1,19,259,16,6,0
81463,15,1,17,245,17,6,0
37295,9,1,35,215,16,6,0
9419,2,1,3,237,22,6,0
5348,8,2,6,145,23,6,0
28179,3,1,18,452,0,7,0
71178,12,1,19,259,21,6,0
18747,15,1,47,265,23,6,0
165085,12,1,19,265,22,6,0
17149,17,1,13,280,23,6,0
166518,18,1,22,121,20,6,0
4988,12,1,18,178,23,6,0
32661,9,1,13,134,20,6,0
42112,1,1,13,377,16,6,0
